date,Red & White Cabbage,Romaine,Kale,Baby Spinach,Wholemeal Wrap,Spinach Wrap,Tortilla Wrap,Tomato Wrap,Cauliflower Rice,Quinoa,Pea Sprouts,Pomelo,Radish Pickles,Mixed Seeds,Sesame Seeds,Furikake,Crushed Peanuts,Cucumber Pickles,Lime Wedge,Jalapeno,Fresh Herbs,Grated Eggs,Tofu,Raisins,Mandarin Orange,Green Apple,Grapes,Croutons,Soba Noodles,Roasted Pumpkins,Potato,Black Beans,Chickpeas,Edamame,Broccoli,Sweet Corn,French Beans,Olives,Red Onions,Cherry Tomatoes,Capsicum,Cucumbers,Carrot,Beetroot,Sous-vide Chicken,Sous-vide Salmon,Super Protein Patty,Thai Asparagus,Toasted Almonds,Walnuts,Bacon Bits,Roasted Lemongrass Chicken,Tandoori Chicken,Roasted Chicken,Seared Tuna,Smoked Salmon,Grilled Halloumi Cheese,Feta,Parmesan,Cheddar,Soft Boiled Eggs,Whole Eggs,Veggie Patty,Falafel,Grilled Tofu,Avocado,Roasted Brussel Sprouts,Warm Baked Mushrooms,Arabian Spiced Vinaigrette,Indian Spiced Yoghurt,Japanese Miso,Korean Chilli Vinaigrette,Sesame Lime,Thai Turmeric,Wasabi Honey Soy,Balsamic Vinagrette,Basil Pesto,Cashew Mint,Classic Caesar,Honey Dijon,Lemon & Oil,Mixed Berries Vinaigrette,Olive Oil,Salt & Pepper,Smoked Pimento,Smoky Ranch,Tabbasco Sauce
2013-01-01,33,33,15,10,11,23,25,10,18,37,37,33,37,22,42,14,13,38,15,22,22,59,14,41,59,16,14,49,34,17,30,22,37,23,28,49,16,21,25,19,6,21,22,20,37,30,17,21,18,30,37,33,37,22,42,14,13,38,15,22,22,59,14,41,59,13,38,15,22,22,59,14,41,59,16,14,49,34,17,30,22,37,23,28,49,16,21
2013-01-02,37,43,30,11,6,6,23,11,23,34,43,35,31,35,33,11,18,51,18,16,28,29,17,25,26,26,10,39,30,25,19,22,30,6,26,48,13,28,23,15,15,24,27,15,40,30,15,26,10,32,43,35,31,35,33,11,18,51,18,16,28,29,17,25,26,18,51,18,16,28,29,17,25,26,26,10,39,30,25,19,22,30,6,26,48,13,28
2013-01-03,38,23,14,8,8,15,34,8,25,32,34,41,50,26,45,12,15,42,20,24,23,33,5,32,42,31,12,57,35,25,33,30,40,15,38,45,12,40,29,12,5,14,19,11,42,30,5,25,17,25,34,41,50,26,45,12,15,42,20,24,23,33,5,32,42,15,42,20,24,23,33,5,32,42,31,12,57,35,25,33,30,40,15,38,45,12,40
2013-01-04,54,18,10,19,9,13,36,19,22,45,52,45,45,32,39,15,19,50,16,24,15,45,16,36,35,25,18,46,46,27,24,24,48,13,38,41,23,45,31,13,9,22,29,22,49,37,13,26,22,32,52,45,45,32,39,15,19,50,16,24,15,45,16,36,35,19,50,16,24,15,45,16,36,35,25,18,46,46,27,24,24,48,13,38,41,23,45
2013-01-05,51,34,23,12,8,15,38,12,29,35,45,46,49,31,47,22,16,56,19,36,18,32,23,31,45,27,13,45,43,22,32,28,31,15,45,48,23,38,29,19,13,18,34,19,52,28,12,28,15,35,45,46,49,31,47,22,16,56,19,36,18,32,23,31,45,16,56,19,36,18,32,23,31,45,27,13,45,43,22,32,28,31,15,45,48,23,38
2013-01-06,60,38,23,16,13,12,32,16,35,54,46,37,46,34,44,15,24,48,25,35,24,50,10,33,43,21,12,55,51,29,48,29,41,12,45,47,16,61,29,14,12,26,31,16,48,32,13,38,19,40,46,37,46,34,44,15,24,48,25,35,24,50,10,33,43,24,48,25,35,24,50,10,33,43,21,12,55,51,29,48,29,41,12,45,47,16,61
2013-01-07,28,27,10,7,11,10,14,7,24,37,11,35,29,26,49,9,11,36,14,21,27,26,6,26,33,15,4,44,21,16,21,17,28,10,26,27,9,26,19,11,5,14,24,14,36,15,9,20,10,19,11,35,29,26,49,9,11,36,14,21,27,26,6,26,33,11,36,14,21,27,26,6,26,33,15,4,44,21,16,21,17,28,10,26,27,9,26
2013-01-08,34,28,13,9,10,15,31,9,22,37,33,39,27,22,42,11,24,31,24,26,15,38,17,51,31,27,12,42,35,23,28,16,27,15,34,29,16,48,16,9,8,14,23,14,36,23,9,24,13,34,33,39,27,22,42,11,24,31,24,26,15,38,17,51,31,24,31,24,26,15,38,17,51,31,27,12,42,35,23,28,16,27,15,34,29,16,48
2013-01-09,40,34,16,11,7,9,32,11,19,32,33,36,37,28,44,9,18,36,22,35,14,40,9,31,37,28,9,43,26,33,24,21,30,9,34,39,15,33,17,16,14,12,26,9,45,23,11,19,7,42,33,36,37,28,44,9,18,36,22,35,14,40,9,31,37,18,36,22,35,14,40,9,31,37,28,9,43,26,33,24,21,30,9,34,39,15,33
2013-01-10,43,27,15,16,8,10,32,16,30,36,40,34,45,24,47,13,14,30,22,21,25,41,19,41,44,20,15,54,34,17,26,21,31,10,26,44,16,40,20,13,15,17,25,14,40,38,15,21,19,33,40,34,45,24,47,13,14,30,22,21,25,41,19,41,44,14,30,22,21,25,41,19,41,44,20,15,54,34,17,26,21,31,10,26,44,16,40
2013-01-11,37,28,24,19,10,22,28,19,20,33,34,38,55,20,42,9,15,43,28,26,20,45,17,34,44,18,16,45,39,18,24,20,46,22,25,39,21,53,30,20,11,17,30,15,48,29,9,24,15,43,34,38,55,20,42,9,15,43,28,26,20,45,17,34,44,15,43,28,26,20,45,17,34,44,18,16,45,39,18,24,20,46,22,25,39,21,53
